Kurskod,Kursnamn,Poäng,Ämne
"FORI2000X","Nivå 2","100","Fordonsskadeteknik – plastreparationer"
"FORJ1N0","Nivå 1","100","Försäljning och kundservice"
"FORJ2N0","Nivå 2","100","Försäljning och kundservice"
"FORJ3N0","Nivå 3","100","Försäljning och kundservice"
"FORK1000X","Nivå 1","100","Fordonslackeringsteknik – småreparationer"
"FORL1000X","Nivå 1","200","Fordonslackeringsteknik"
"FORL2000X","Nivå 2","200","Fordonslackeringsteknik"
"FORL3000X","Nivå 3","100","Fordonslackeringsteknik"
"FORM1000X","Nivå 1","100","Formgivning"
"FORM2000X","Nivå 2","100","Formgivning"
"FORM3000X","Nivå 3","100","Formgivning"
"FORN1000X","Nivå 1","200","Fordonslackering"
"FORN2000X","Nivå 2","200","Fordonslackering"
"FORO1000X","Nivå 1","200","Fordonskombinationer – godstransporter"
"FORP1000X","Nivå 1","200","Fordonsskadereparationer"
"FORP2000X","Nivå 2","200","Fordonsskadereparationer"
"FORR1N0","Nivå 1","200","Fordonsvård och underhållsteknik – grönyte- och småmaskiner"
"FORS1000X","Nivå 1","100","Försäljning och kundservice"
"FORS2000X","Nivå 2","100","Försäljning och kundservice"
"FORS3000X","Nivå 3","100","Försäljning och kundservice"
"FORS4000X","Nivå 4","100","Försäljning och kundservice"
"FORT1N0","Nivå 1","200","Fordonsvård och godshantering"
"FORT2N0","Nivå 2","200","Fordonsvård och godshantering"
"FORU1N0","Nivå 1","200","Fordonsvård och underhållsteknik"
"FORU2N0","Nivå 2","200","Fordonsvård och underhållsteknik"
"FORU3N0","Nivå 3","200","Fordonsvård och underhållsteknik"
"FORV1000X","Nivå 1","200","Fordon – elektronik och mjukvara"
"FOSFOD5","Fordonsvård – personbil","100","Fordonsvård"
"FOSFOO5","Fordonsvård – tunga fordon","100","Fordonsvård"
"FOSREK51","Rekonditionering 1","100","Fordonsvård"
"FOSREK52","Rekonditionering 2","100","Fordonsvård"
"FOTFOT01","Fotografisk bild 1","100","Fotografisk bild"
"FOTFOT02","Fotografisk bild 2","100","Fotografisk bild"
"FOTFOT03","Fotografisk bild 3","100","Fotografisk bild"
"FOTFOT04","Fotografisk bild 4","100","Fotografisk bild"
"FOTG1N0","Nivå 1","100","Fotografisk bild"
"FOTG2N0","Nivå 2","100","Fotografisk bild"
"FOTO1000X","Nivå 1","100","Fotografisk bild"
"FOTO2000X","Nivå 2","100","Fotografisk bild"
"FOTO3000X","Nivå 3","100","Fotografisk bild"
"FOTO4000X","Nivå 4","100","Fotografisk bild"
"FRDBAS0","Båtsystem","200","Fritidsbåtteknik"
"FRDBAT0","Båthantering och underhåll","100","Fritidsbåtteknik"
"FRDKON01","Konstruktion och reparation 1","200","Fritidsbåtteknik"
"FRDKON02","Konstruktion och reparation 2","200","Fritidsbåtteknik"
"FRDPLA0","Plast- och lamineringsteknik","100","Fritidsbåtteknik"
"FRIB1000X","Nivå 1","200","Frisör – behandling"
"FRIB2000X","Nivå 2","200","Frisör – behandling"
"FRIB3000X","Nivå 3","200","Frisör – behandling"
"FRIB4000X","Nivå 4","100","Frisör – behandling"
"FRIBAD0","Bad- och friskvårdsanläggningar","100","Fritids- och friskvårdsverksamheter"
