Kurskod,Kursnamn,Poäng,Ämne
"HAVTEX01","Textil design 1","200","Hantverk"
"HAVTEX02","Textil design 2","200","Hantverk"
"HAVTEX03","Textil design 3","200","Hantverk"
"HAVTEX04","Textil design 4","200","Hantverk"
"HAVTEX04S","Textil design 4 – specialisering","50","Hantverk"
"HAVTEX05","Textil design 5","200","Hantverk"
"HAVTEX05S","Textil design 5 – specialisering","50","Hantverk"
"HAVTEX06a","Textil design 6a","100","Hantverk"
"HAVTEX06b","Textil design 6b","50","Hantverk"
"HELHEL0","Helikopterteknik","200","Helikopterteknik"
"HELK1000X","Nivå 1","200","Helikopterteknik"
"HEMO1N0","Nivå 1","100","Hem- och konsumentkunskap"
"HEOHEM51","Hem- och konsumentkunskap 1","100","Hem- och konsumentkunskap"
"HEOHEM52","Hem- och konsumentkunskap 2","100","Hem- och konsumentkunskap"
"HIOHIL0","Hippologi – etologi","100","Hippologi"
"HIOHIO0","Hippologi – avel och hästens hälsa","100","Hippologi"
"HIOHIP0","Hippologi – anatomi och fysiologi","100","Hippologi"
"HISHIS01a1","Historia 1a1","50","Historia"
"HISHIS01a2","Historia 1a2","50","Historia"
"HISHIS01b","Historia 1b","100","Historia"
"HISHIS02a","Historia 2a","100","Historia"
"HISHIS02b","Historia 2b – kultur","100","Historia"
"HISHIS03","Historia 3","100","Historia"
"HISO1N0","Nivå 1","50","Historia"
"HISO2N0","Nivå 2","100","Historia"
"HISO3N0","Nivå 3","100","Historia"
"HIST1A10X","Nivå 1a1","50","Historia"
"HIST1A20X","Nivå 1a2","50","Historia"
"HIST1B00X","Nivå 1b","100","Historia"
"HIST2A00X","Nivå 2a","100","Historia"
"HIST2B00X","Nivå 2b","100","Historia"
"HIST3000X","Nivå 3","100","Historia"
"HITHIS51","Historia 1","50","Historia"
"HITHIS52","Historia 2","100","Historia"
"HITHIS53","Historia 3","100","Historia"
"HJLHJU51","Hjulutrustningsteknik 1","100","Hjulutrustningsteknik"
"HJLHJU52","Hjulutrustningsteknik 2","100","Hjulutrustningsteknik"
"HJLHJU53","Hjulutrustningsteknik 3","100","Hjulutrustningsteknik"
"HJUHJT00S","Hjulutrustning – specialisering","100","Hjulutrustningsteknik"
"HJUHJU0","Hjulutrustning","200","Hjulutrustningsteknik"
"HJUL1000X","Nivå 1","200","Hjullastare"
"HJUU1000X","Nivå 1","200","Hjulutrustningsteknik"
"HOEHOT5","Hotell","100","Hotell"
"HOEKON51","Konferens och evenemang 1","100","Hotell"
"HOEKON52","Konferens och evenemang 2","100","Hotell"
"HOEVAN51","Våningsservice 1","100","Hotell"
"HOEVAN52","Våningsservice 2","100","Hotell"
"HOTL1N0","Nivå 1","100","Hotell"
"HOTL2N0","Nivå 2","200","Hotell"
"HOTL3N0","Nivå 3","200","Hotell"
"HUAHUM30S","Humanistisk och samhällsvetenskaplig spets","50","Humanistisk och samhällsvetenskaplig spets inom försöksverksamhet med riksrekryterande gymnasial spetsutbildning"
"HUBSPC01S","Specialyrken 1","100","Husbyggnad – specialyrken"
"HUBSPC02S","Specialyrken 2","200","Husbyggnad – specialyrken"
"HUBSPC03S","Specialyrken 3","200","Husbyggnad – specialyrken"
"HUMHUM00S","Humanistisk och samhällsvetenskaplig specialisering","100","Humanistisk och samhällsvetenskaplig specialisering"
"HUMN1000X","Nivå 1","100","Humanistisk och samhällsvetenskaplig specialisering"
"HUMT100PX","Nivå 1","100","Humanistisk och samhällsvetenskaplig spets"
"HUMT200PX","Nivå 2","100","Humanistisk och samhällsvetenskaplig spets"
"HUND1000X","Nivå 1","100","Hundkunskap"
"HUND2000X","Nivå 2","200","Hundkunskap"
"HUND3000X","Nivå 3","100","Hundkunskap"
"HUNHUN01","Hundkunskap 1","100","Hundkunskap"
"HUNHUN02","Hundkunskap 2","100","Hundkunskap"
"HUNHUN03","Hundkunskap 3","100","Hundkunskap"
"HUNK1N0","Nivå 1","100","Hundkunskap"
"HUNK2N0","Nivå 2","100","Hundkunskap"
"HUNTRN0","Träning av hund","100","Hundkunskap"
"HUSB1000X","Nivå 1","200","Husbyggnad"
"HUSB2000X","Nivå 2","200","Husbyggnad"
"HUSB3000X","Nivå 3","200","Husbyggnad"
"HUSHUB0","Husbyggnadsprocessen","200","Husbyggnad"
"HUSHUS01","Husbyggnad 1","100","Husbyggnad"
"HUSHUS02","Husbyggnad 2","200","Husbyggnad"
"HUSHUS03","Husbyggnad 3 – ombyggnad","200","Husbyggnad"
"HUSV1000X","Nivå 1","100","Husvagns- och husbilsteknik"
"HUSV2000X","Nivå 2","100","Husvagns- och husbilsteknik"
"HUSV3000X","Nivå 3","100","Husvagns- och husbilsteknik"
"HUVHUS0","Husvagnar och husbilar","300","Husvagns- och husbilsteknik"
"HVKMAE0","Material och miljö","100","Hantverkskunskap"
"HVKMAT0","Material","50","Hantverkskunskap"
"HVKMIL0","Miljö","50","Hantverkskunskap"
"HVKTRA0","Tradition och utveckling","100","Hantverkskunskap"
"HYGHYG0","Hygien","100","Hygienkunskap"
"HÄTDEN01a","Den unga hästens utveckling 1a","100","Hästkunskap"
"HÄTDEN01b","Den unga hästens utveckling 1b","100","Hästkunskap"
"HÄTDEN02","Den unga hästens utveckling 2","100","Hästkunskap"
"HÄTHÄS01","Hästkunskap 1","100","Hästkunskap"
"HÄTHÄS02","Hästkunskap 2","100","Hästkunskap"
"HÄTHÄS03","Hästkunskap 3","100","Hästkunskap"
"HÅLHÅB0","Hållbart samhällsbyggande","100","Hållbart samhälle"
"HÅLMIJ0","Miljö- och energikunskap","100","Hållbart samhälle"
"HÅLPOL0","Politik och hållbar utveckling","100","Hållbart samhälle"
"IDCIDR51","Idrott och hälsa 1","200","Idrott och hälsa"
"IDCIDR52","Idrott och hälsa 2","100","Idrott och hälsa"
"IDCIDR53","Idrott och hälsa 3 – vald idrott","100","Idrott och hälsa"
"IDRIDO01","Idrott och hälsa 1 – specialisering","100","Idrott och hälsa"
"IDRIDO02","Idrott och hälsa 2 – specialisering","100","Idrott och hälsa"
"IDRIDR01","Idrott och hälsa 1","100","Idrott och hälsa"
"IDRIDR02","Idrott och hälsa 2","100","Idrott och hälsa"
"IDRO1000X","Nivå 1","100","Idrott och hälsa"
"IDRO2000X","Nivå 2","100","Idrott och hälsa"
"IDRS1N0G","Nivå 1","100","Idrottsfördjupning"
"IDRT1N0G","Nivå 1","200","Idrott och hälsa"
"IDRT2N0G","Nivå 2","100","Idrott och hälsa"
"IDUIIT3","Industriell it","100","Industriell automation"
"IDUIND3","Industriell automationsteknik","100","Industriell automation"
"IDUPLC3","Industriell PLC-teknik","100","Industriell automation"
"IDUROB3","Industriell robotteknik","100","Industriell automation"
"IDUTIL3","Tillämpad automationsteknik","100","Industriell automation"
"INADAT3","Datakommunikation och informationssäkerhet","200","Informationsteknisk arkitektur och infrastruktur"
"INAINF3","Informationsteknisk arkitektur","100","Informationsteknisk arkitektur och infrastruktur"
"INANAT3","Nätverks- och kommunikationstjänster","100","Informationsteknisk arkitektur och infrastruktur"
"INDA1000X","Nivå 1","100","Industriautomation"
"INDA2000X","Nivå 2","100","Industriautomation"
"INDB100TX","Nivå 1","100","Industriell robotteknik"
"INDB200TX","Nivå 2","100","Industriell robotteknik"
"INDD100TX","Nivå 1","100","Industriell design"
"INDD200TX","Nivå 2","100","Industriell design"
"INDE1000X","Nivå 1","100","Industritekniska processer"
"INDE2000X","Nivå 2","100","Industritekniska processer"
"INDE3000X","Nivå 3","100","Industritekniska processer"
"INDG100TX","Nivå 1","100","Industriell digitalisering"
"INDI1000X","Nivå 1","100","Industriteknisk fördjupning"
"INDIND01","Industrirörteknik 1","100","Industrirörteknik"
"INDIND02","Industrirörteknik 2","100","Industrirörteknik"
"INDIND03","Industrirörteknik 3","200","Industrirörteknik"
"INDK100TX","Nivå 1","100","Industriella produktionsmetoder"
"INDK200TX","Nivå 2","100","Industriella produktionsmetoder"
"INDL1000X","Nivå 1","100","Industriell elmotorstyrning"
"INDO100TX","Nivå 1","100","Industriell automationsteknik"
"INDO200TX","Nivå 2","100","Industriell automationsteknik"
"INDP1000X","Nivå 1","100","Industriell produktion"
"INDP2000X","Nivå 2","100","Industriell produktion"
"INDR1000X","Nivå 1","50","Industriella interna transporter"
"INDS1000X","Nivå 1","100","Industrirörteknik"
"INDS2000X","Nivå 2","200","Industrirörteknik"
"INDT1000X","Nivå 1","100","Industriell mätteknik"
"INDT2000X","Nivå 2","100","Industriell mätteknik"
"INDU1000X","Nivå 1","200","Industriisolering"
"INEIND51","Industriell produktion 1","100","Industriell produktion"
"INEIND52","Industriell produktion 2","100","Industriell produktion"
"INEIND53","Industriell produktion 3","100","Industriell produktion"
"INFA1000X","Nivå 1","100","Informationsteknik"
"INFA2000X","Nivå 2","100","Informationsteknik"
"INFINF01","Information och kommunikation 1","100","Information och kommunikation"
"INFINF02","Information och kommunikation 2","100","Information och kommunikation"
"INFM1N0","Nivå 1","100","Information och kommunikation"
"INFM2N0","Nivå 2","100","Information och kommunikation"
"INFO1000X","Nivå 1","100","Information och kommunikation"
"INFO2000X","Nivå 2","100","Information och kommunikation"
"INFR1000X","Nivå 1","100","Informationsteknik i automatiserade system"
"INFT100TX","Nivå 1","100","Informationsteknisk arkitektur"
"INKINK01","Inköp 1","100","Inköp och logistik"
"INKINK02","Inköp 2","100","Inköp och logistik"
"INKLOG01","Logistik 1","100","Inköp och logistik"
"INKLOG02","Logistik 2","100","Inköp och logistik"
"INKO1000X","Nivå 1","100","Inköp"
"INKO2000X","Nivå 2","100","Inköp"
"INKTRP0","Transport och spedition","100","Inköp och logistik"
"INLIND31","Industriell design 1","100","Industriell design"
"INLIND32","Industriell design 2","100","Industriell design"
"INMDIG5","Digital kompetens","100","Information och kommunikation"
"INMINF51","Information och kommunikation 1","100","Information och kommunikation"
"INMINF52","Information och kommunikation 2","100","Information och kommunikation"
"INNIND31","Industriella produktionsmetoder 1","100","Industriella produktionsmetoder"
"INNIND32","Industriella produktionsmetoder 2","100","Industriella produktionsmetoder"
"INNIND33","Industriella produktionsmetoder 3","100","Industriella produktionsmetoder"
"INPINK51","Inköp och logistik 1","100","Inköp och logistik"
"INPINK52","Inköp och logistik 2","100","Inköp och logistik"
"INPINK53","Inköp och logistik 3","100","Inköp och logistik"
"INPNAT51","Näthandel 1","100","Inköp och logistik"
"INPNAT52","Näthandel 2","100","Inköp och logistik"
"INRIND0","Industriautomation","100","Industriautomation"
"INRROB0","Robotteknik","100","Industriautomation"
"INSBES0","Belysningsteknik","100","Installationsteknik"
"INSELI0","Elinstallationer","200","Installationsteknik"
"INSELS0","Elmotorstyrning","100","Installationsteknik"
"INSKOM01","Kommunikationsnät 1","100","Installationsteknik"
"INSKOM02","Kommunikationsnät 2","100","Installationsteknik"
"INSKOM03","Kommunikationsnät 3","100","Installationsteknik"
"INSR1000X","Nivå 1","100","Instrument eller sång"
"INSR2000X","Nivå 2","100","Instrument eller sång"
"INSR3000X","Nivå 3","100","Instrument eller sång"
"INST1000X","Nivå 1","100","Installationsteknik"
"INST2000X","Nivå 2","100","Installationsteknik"
"INST3000X","Nivå 3","100","Installationsteknik"
"INSU1N0","Nivå 1","100","Instrument eller sång"
"INTE1000X","Nivå 1","100","Internationell ekonomi"
"INTN1000X","Nivå 1","100","Internationellt arbete"
"INTR1000X","Nivå 1","100","Internationella relationer"
"INUINU01","Industritekniska processer 1","100","Industritekniska processer"
"INUINU02","Industritekniska processer 2","100","Industritekniska processer"
"INUINU03","Industritekniska processer 3","100","Industritekniska processer"
"INUINU04","Industritekniska processer 4","100","Industritekniska processer"
"INULAB0","Laboratorieteknik","200","Industritekniska processer"
"INUS100TX","Nivå 1","100","Industriell it"
"INVVVI0","VVS TIG-svetsning rör","100","Industrirör svets VVS"
"INVVVS0","VVS MMA-svetsning rör","100","Industrirör svets VVS"
"JAKT1000X","Nivå 1","100","Jakt och viltvård"
"JAKT2000X","Nivå 2","200","Jakt och viltvård"
"JAKT3000X","Nivå 3","100","Jakt och viltvård"
"JARN1000X","Nivå 1","200","Järnvägsbyggnad"
"JARN2000X","Nivå 2","200","Järnvägsbyggnad"
"JIDW1000X","Nivå 1","100","Modersmål – jiddisch som andraspråk (nybörjare)"
"JIDW2000X","Nivå 2","100","Modersmål – jiddisch som andraspråk (nybörjare)"
"JIDW3000X","Nivå 3","100","Modersmål – jiddisch som andraspråk (nybörjare)"
"JIDX1000X","Nivå 1","100","Modersmål – jiddisch som förstaspråk"
"JIDX2000X","Nivå 2","100","Modersmål – jiddisch som förstaspråk"
"JIDX3000X","Nivå 3","100","Modersmål – jiddisch som förstaspråk"
"JIDY1000X","Nivå 1","100","Modersmål – jiddisch som andraspråk (fortsättning)"
"JIDY2000X","Nivå 2","100","Modersmål – jiddisch som andraspråk (fortsättning)"
"JIDY3000X","Nivå 3","100","Modersmål – jiddisch som andraspråk (fortsättning)"
"JIIW1N0","Nivå 1","100","Modersmål – jiddisch som andraspråk (nybörjare)"
"JIIW2N0","Nivå 2","100","Modersmål – jiddisch som andraspråk (nybörjare)"
"JIIX1N0","Nivå 1","100","Modersmål – jiddisch som förstaspråk"
"JIIX2N0","Nivå 2","100","Modersmål – jiddisch som förstaspråk"
"JIIY1N0","Nivå 1","100","Modersmål – jiddisch som andraspråk (fortsättning)"
"JIIY2N0","Nivå 2","100","Modersmål – jiddisch som andraspråk (fortsättning)"
"JOUR1000X","Nivå 1","100","Journalistiskt skrivande"
"JURAFF0","Affärsjuridik","100","Juridik"
"JURI1000X","Nivå 1","100","Juridik"
"JURI2000X","Nivå 2","100","Juridik"
"JURI3000X","Nivå 3","100","Juridik"
"JURPRI0","Privatjuridik","100","Juridik"
"JURRÄT0","Rätten och samhället","100","Juridik"
"JÄNALM0","Allmän järnvägsteknik","100","Järnvägsteknik"
"JÄNELN0","Elteknik","300","Järnvägsteknik"
"JÄNSIG0","Signalteknik","300","Järnvägsteknik"
"JÄRJÄR01","Järnvägsbyggnad 1","100","Järnvägsbyggnad"
"JÄRJÄR02","Järnvägsbyggnad 2","200","Järnvägsbyggnad"
"JÄRJÄR03","Järnvägsbyggnad 3","200","Järnvägsbyggnad"
"KARKAR0","Karosserikonstruktioner och inredning","200","Karosseriteknik"
"KARRIK0","Riktbänkssystem","200","Karosseriteknik"
"KARRIT0","Riktningsteknik – introduktion","200","Karosseriteknik"
"KARSKA0","Skadebesiktning och produktionsflöde","100","Karosseriteknik"
"KARSKR0","Skarvnings- och sammanfogningsteknik","300","Karosseriteknik"
"KARSMA0","Småreparationer – karosseri","100","Karosseriteknik"
"KATK1N0","Nivå 1","100","Kattkunskap"
"KATT1000X","Nivå 1","100","Kattkunskap"
"KEMI1000X","Nivå 1","100","Kemi"
"KEMI2000X","Nivå 2","100","Kemi"
"KEMKEM01","Kemi 1","100","Kemi"
"KEMKEM02","Kemi 2","100","Kemi"
"KINF1000X","Nivå 1","100","Kinesiska – fördjupning"
"KINF2000X","Nivå 2","100","Kinesiska – fördjupning"
"KINF3000X","Nivå 3","100","Kinesiska – fördjupning"
"KING1000X","Nivå 1","100","Kinesiska – grund"
"KINO1000X","Nivå 1","100","Kinesiska – fortsättning"
"KINO2000X","Nivå 2","100","Kinesiska – fortsättning"
"KINY1000X","Nivå 1","100","Kinesiska – nybörjare"
"KLAI100DX","Nivå 1","200","Klassisk balett"
"KLAI200DX","Nivå 2","200","Klassisk balett"
"KLAI300DX","Nivå 3","200","Klassisk balett"
"KLAKLA01","Klassisk grekiska – språk och kultur 1","100","Klassisk grekiska – språk och kultur"
"KLAKLA02","Klassisk grekiska – språk och kultur 2","100","Klassisk grekiska – språk och kultur"
"KLAS1000X","Nivå 1","100","Klassisk grekiska – språk och kultur"
"KLAS2000X","Nivå 2","100","Klassisk grekiska – språk och kultur"
"KLIN100TX","Nivå 1","100","Klient- och supportteknik"
"KLIN200TX","Nivå 2","100","Klient- och supportteknik"
"KOHHAN01","Konsthantverk 1","100","Konsthantverk"
"KOHHAN02","Konsthantverk 2","100","Konsthantverk"
"KOHHAN03","Konsthantverk 3","100","Konsthantverk"
"KOHHAN04","Konsthantverk 4","100","Konsthantverk"
"KOHHAN05","Konsthantverk 5","100","Konsthantverk"
"KOLKOL0","Kolvmotorer","200","Kolvmotorer – flyg"
"KOML100DX","Nivå 1","100","Kompletterande träning för yrkesdansare"
"KOMM1000X","Nivå 1","100","Kommunikationsnät"
"KOMM2000X","Nivå 2","100","Kommunikationsnät"
"KOMN100TX","Nivå 1","100","Komponenter och system – VVS"
"KOMO100TX","Nivå 1","100","Komponenter och system – el"
"KONA1000X","Nivå 1","50","Konstarterna och samhället"
"KONA2000X","Nivå 2","100","Konstarterna och samhället"
"KONEVE0","Evenemang","100","Konferens och evenemang"
"KONH1000X","Nivå 1","100","Konsthantverk"
"KONH2000X","Nivå 2","100","Konsthantverk"
"KONI1000X","Nivå 1","100","Konditori"
"KONI2000X","Nivå 2","200","Konditori"
"KONI3000X","Nivå 3","200","Konditori"
"KONI4000X","Nivå 4","100","Konditori"
"KONKOF0","Konferens och evenemang","100","Konferens och evenemang"
"KONKOF01","Konferens 1","100","Konferens och evenemang"
"KONKON02","Konferens 2","100","Konferens och evenemang"
"KONKON03","Konferens 3","100","Konferens och evenemang"
"KONN1000X","Nivå 1","100","Konsthantverk – fördjupning"
"KONN2000X","Nivå 2","100","Konsthantverk – fördjupning"
"KONN3000X","Nivå 3","100","Konsthantverk – fördjupning"
"KONR1000X","Nivå 1","100","Konstruktion"
"KONR2000X","Nivå 2","100","Konstruktion"
"KONRUM0","Rums- och konferensbokning","100","Konferens och evenemang"
"KONS1000X","Nivå 1","100","Konst och kultur"
"KONS2000X","Nivå 2","100","Konst och kultur"
"KONT1N0","Nivå 1","100","Konstarterna och samhället"
"KONU100TX","Nivå 1","100","Konstruktionsteknik"
"KONU200TX","Nivå 2","100","Konstruktionsteknik"
"KOOKUN5","Konst och kultur","100","Konst och kultur"
"KORE1000X","Nivå 1","100","Koreografi"
"KORI1N0","Nivå 1","100","Körning med häst"
"KORI2N0","Nivå 2","100","Körning med häst"
"KORKON3","Konstruktionsteknik","100","Konstruktionsteknik"
"KORMAT3","Materialteknik","100","Konstruktionsteknik"
"KORMEK3","Mekanik och hållfasthetslära","100","Konstruktionsteknik"
"KORN1000X","Nivå 1","100","Körning med häst"
"KORN2000X","Nivå 2","100","Körning med häst"
"KORN3000X","Nivå 3","100","Körning med häst"
"KORS1000X","Nivå 1","100","Körsång"
"KORS2000X","Nivå 2","100","Körsång"
"KORTIL3","Tillämpad konstruktionsteknik","100","Konstruktionsteknik"
"KOSFIL0","Film- och tv-kunskap","100","Konst och kultur"
"KOSKOS0","Konstarterna och samhället","50","Konst och kultur"
"KOSKUL0","Kultur- och idéhistoria","100","Konst och kultur"
"KOSO1000X","Nivå 1","100","Kost och hälsa"
"KOSSAT0","Samtida kulturuttryck","100","Konst och kultur"
"KOTKOS01","Konstruktion 1","100","Konstruktion"
"KOTKOS02","Konstruktion 2","100","Konstruktion"
"KOTKOS03","Konstruktion 3","100","Konstruktion"
"KRAF1000X","Nivå 1","200","Kraft- och värmeteknik"
"KRAF2000X","Nivå 2","200","Kraft- och värmeteknik"
"KRAKRA01","Kraft- och värmeteknik 1","200","Kraft- och värmeteknik"
"KRAKRA02","Kraft- och värmeteknik 2","200","Kraft- och värmeteknik"
"KRARER0","Reservkraft","100","Kraft- och värmeteknik"
"KREA1000X","Nivå 1","100","Kreativt skrivande"
"KREI1000X","Nivå 1","100","Kreativt skrivande på engelska"
"KRET1N0","Nivå 1","100","Kreativt skrivande"
"KULT1000X","Nivå 1","100","Kulturplåtslageri"
"KYLKYC0","Kyl- och värmepumpsteknik – installation","200","Kyl- och värmepumpsteknik"
"KYLKYH0","Kyl- och värmepumpsteknik – miljö och säkerhet","100","Kyl- och värmepumpsteknik"
"KYLKYL0","Kyl- och värmepumpsteknik – energieffektivisering","100","Kyl- och värmepumpsteknik"
"KYLKYO0","Kyl- och värmepumpsteknik – grund","100","Kyl- och värmepumpsteknik"
"KYLKYV0","Kyl- och värmepumpsteknik – service","200","Kyl- och värmepumpsteknik"
"KYLO1000X","Nivå 1","100","Kyl- och värmepumpsteknik"
"KYLO2000X","Nivå 2","200","Kyl- och värmepumpsteknik"
"KYLO3000X","Nivå 3","200","Kyl- och värmepumpsteknik"
"KYLO4000X","Nivå 4","200","Kyl- och värmepumpsteknik"
"LAALAS0","Lastbilar och mobila maskiner – verkstad och elteknik","100","Lastbilar och mobila maskiner – service och underhållsteknik"
"LAALAS01","Lastbilar och mobila maskiner – service och underhåll 1","100","Lastbilar och mobila maskiner – service och underhållsteknik"
"LAALAS02","Lastbilar och mobila maskiner – service och underhåll 2","100","Lastbilar och mobila maskiner – service och underhållsteknik"
"LAALAT0","Lastbilar och mobila maskiner – basteknik","100","Lastbilar och mobila maskiner – service och underhållsteknik"
"LABLAN51","Lantbruksdjur 1","100","Lantbruksdjur"
"LABLAN52","Lantbruksdjur 2","100","Lantbruksdjur"
"LABLAN53","Lantbruksdjur 3","100","Lantbruksdjur"
"LABO1000X","Nivå 1","100","Laboratorieteknik"
"LABO2000X","Nivå 2","100","Laboratorieteknik"
"LACBAK0","Baskurs i lackering","300","Lackeringsteknik"
"LACFÄR0","Färg och dekorationslackering","100","Lackeringsteknik"
"LACINS0","Industriell lackering","200","Lackeringsteknik"
"LACLAC0","Lackeringssystem","200","Lackeringsteknik"
"LACLAE0","Lackeringsteknik – introduktion","200","Lackeringsteknik"
"LACLAK0","Lackeringsteknik – applicering","100","Lackeringsteknik"
"LACLAR0","Lackeringsteknik för tunga fordon","200","Lackeringsteknik"
"LACPRD0","Produktionsflöden","100","Lackeringsteknik"
"LACSMA0","Småreparationer – lackering","100","Lackeringsteknik"
"LAELAG51","Lager och terminal 1","100","Lager och terminal"
"LAELAG52","Lager och terminal 2","100","Lager och terminal"
"LAEPLO5","Plocklager","100","Lager och terminal"
"LAGC1N0","Nivå 1","200","Lager och gods – fordonsdelar"
"LAGE1000X","Nivå 1","100","Lager och terminal"
"LAGE2000X","Nivå 2","200","Lager och terminal"
"LAGE3000X","Nivå 3","200","Lager och terminal"
"LAGG1N0","Nivå 1","200","Lager och gods – handelsträdgård"
"LAGH1N0","Nivå 1","200","Lager och gods – jordbruk och skogsbruk"
"LAGLAG0","Lageradministration och terminallogistik","200","Lager och terminal"
"LAGLAP0","Lagerprocesser","200","Lager och terminal"
"LAGO1N0","Nivå 1","200","Lager och gods – dagligvaror"
"LAGPLO0","Plocklagerhantering","100","Lager och terminal"
"LAGR1N0","Nivå 1","200","Lager och gods – byggvaror"
"LAILAT0","Lastbilar och mobila maskiner – förbränningsmotorer","200","Lastbilar och mobila maskiner – motorteknik"
"LAKLAN0","Lantbruksmaskinsteknik","100","Lantbruksmaskinsteknik"
"LALLAS00S","Lastbilspåbyggnad – specialisering","100","Lastbilspåbyggnadsteknik"
"LANB1000X","Nivå 1","100","Lantbruksmaskinsteknik"
"LANLAN00S","Lantbruksdjur – specialisering","100","Lantbruksdjur"
"LANLAN01","Lantbruksdjur 1","100","Lantbruksdjur"
"LANLAN02","Lantbruksdjur 2","100","Lantbruksdjur"
"LANR1N0","Nivå 1","100","Lantbruksdjur"
"LANR2N0","Nivå 2","200","Lantbruksdjur"
"LANT1000X","Nivå 1","100","Lantbruksdjur"
"LANT2000X","Nivå 2","100","Lantbruksdjur"
"LANT3000X","Nivå 3","100","Lantbruksdjur"
"LAOLAS0","Låsinstallation","200","Lås- och passerteknik"
"LAOLAT0","Låsteknik","200","Lås- och passerteknik"
"LAPLAC0","Lastbilar – chassi och bromsar","200","Lastbilar – reparations- och systemteknik"
"LAPLAS0","Lastbilar – kraftöverföring","100","Lastbilar – reparations- och systemteknik"
"LAPLAS01","Lastbilar – system- och diagnosteknik 1","100","Lastbilar – reparations- och systemteknik"
"LAPLAS02","Lastbilar – system- och diagnosteknik 2","100","Lastbilar – reparations- och systemteknik"
"LARBRN0","Brandlarmssystem","100","Larm och säkerhetsteknik"
"LARCCT0","CCTV-system","100","Larm och säkerhetsteknik"
"LARINB0","Inbrottslarmssystem","100","Larm och säkerhetsteknik"
"LARLAM0","Larm-, övervaknings- och säkerhetssystem","100","Larm och säkerhetsteknik"
"LARPAS0","Passersystem","100","Larm och säkerhetsteknik"
"LASA1000X","Nivå 1","100","Lastbilspåbyggnad – tank och bulk"
"LASB1000X","Nivå 1","100","Lastbilar – system- och diagnosteknik"
"LASB2000X","Nivå 2","100","Lastbilar – system- och diagnosteknik"
"LASB3000X","Nivå 3","100","Lastbilar – system- och diagnosteknik"
"LASI1000X","Nivå 1","200","Lastbilar och mobila maskiner – motorteknik"
"LASL1000X","Nivå 1","200","Lastbilar och mobila maskiner – service och underhållsteknik"
"LASL2000X","Nivå 2","200","Lastbilar och mobila maskiner – service och underhållsteknik"
"LASLAA0","Lastmaskiner och truckar","100","Lastmaskiner och truckar inom naturbruk"
"LASN1000X","Nivå 1","200","Låsinstallation"
"LASN2000X","Nivå 2","200","Låsinstallation"
"LASO1000X","Nivå 1","150","Lås- och passerteknik"
"LASO2000X","Nivå 2","150","Lås- och passerteknik"
"LASP1000X","Nivå 1","100","Lastbilspåbyggnad – skåp"
"LASS1000X","Nivå 1","100","Lastbilspåbyggnad – rundvirkestransporter"
"LAST1000X","Nivå 1","100","Lastbilar – reparations- och systemteknik"
"LAST2000X","Nivå 2","100","Lastbilar – reparations- och systemteknik"
"LASY1000X","Nivå 1","100","Lastbilspåbyggnad – container och anläggning"
"LATI1000X","Nivå 1","100","Latin – språk och kultur"
"LATI2000X","Nivå 2","100","Latin – språk och kultur"
"LATI3000X","Nivå 3","100","Latin – språk och kultur"
"LATLAT01","Latin – språk och kultur 1","100","Latin – språk och kultur"
"LATLAT02","Latin – språk och kultur 2","100","Latin – språk och kultur"
"LATLAT03","Latin – språk och kultur 3","100","Latin – språk och kultur"
"LATS1000X","Nivå 1","100","Låtskrivande"
"LATS2000X","Nivå 2","100","Låtskrivande"
"LAULAT01","Lantbruksmaskiner 1","100","Lantbruksmaskiner"
"LAULAT02","Lantbruksmaskiner 2","100","Lantbruksmaskiner"
"LEDA1000X","Nivå 1","100","Ledarskap och organisation"
"LEDLED0","Ledarskap och organisation","100","Ledarskap och organisation"
"LEDN1000X","Nivå 1","200","Ledningsbyggnad"
"LISLIV5","Livsmedels- och näringskunskap","100","Livsmedels- och näringskunskap"
"LISMAT51","Mat och butik 1","100","Livsmedels- och näringskunskap"
"LISMAT52","Mat och butik 2","100","Livsmedels- och näringskunskap"
"LITR1N0","Nivå 1","100","Litteratur"
"LITT1000X","Nivå 1","100","Litteratur"
"LIVLIV01","Livsmedels- och näringskunskap 1","100","Livsmedels- och näringskunskap"
"LIVLIV02","Livsmedels- och näringskunskap 2","100","Livsmedels- och näringskunskap"
"LIVM1000X","Nivå 1","100","Livsmedels- och näringskunskap"
"LIVS1000X","Nivå 1","100","Livsmedelshygien"
"LJUD1000X","Nivå 1","100","Ljudproduktion"
"LJUD2000X","Nivå 2","100","Ljudproduktion"
"LJUD3000X","Nivå 3","100","Ljudproduktion"
"LJUFIL0","Film- och interaktiv ljudproduktion","100","Ljudproduktion"
"LJULJU01","Ljudproduktion 1","100","Ljudproduktion"
"LJULJU02","Ljudproduktion 2","100","Ljudproduktion"
"LJURAD0","Radioproduktion","100","Ljudproduktion"
"LLAELL01","Ellära – spårfordon 1","100","Ellära – spårfordon"
"LLAELL02","Ellära – spårfordon 2","100","Ellära – spårfordon"
"LOGI1000X","Nivå 1","100","Logi och värdskap"
"LOGI2000X","Nivå 2","100","Logi och värdskap"
"LOGI3000X","Nivå 3","100","Logi och värdskap"
"LOGS1000X","Nivå 1","100","Logistik"
"LOGS2000X","Nivå 2","100","Logistik"
