"Directory","Language","KeyCount"
"src/locales","ar","835"
"src/locales","da","835"
"src/locales","de","835"
"src/locales","en","835"
"src/locales","es","835"
"src/locales","fi","835"
"src/locales","fr","835"
"src/locales","no","835"
"src/locales","sv","835"
"src/features/calendar/locales","ar","5"
"src/features/calendar/locales","da","5"
"src/features/calendar/locales","de","5"
"src/features/calendar/locales","en","5"
"src/features/calendar/locales","es","5"
"src/features/calendar/locales","fi","5"
"src/features/calendar/locales","fr","5"
"src/features/calendar/locales","no","5"
"src/features/calendar/locales","sv","5"
"src/features/catalog/locales","ar","9"
"src/features/catalog/locales","da","9"
"src/features/catalog/locales","de","9"
"src/features/catalog/locales","en","9"
"src/features/catalog/locales","es","9"
"src/features/catalog/locales","fi","9"
"src/features/catalog/locales","fr","9"
"src/features/catalog/locales","no","9"
"src/features/catalog/locales","sv","9"
"src/features/documents/locales","ar","7"
"src/features/documents/locales","da","7"
"src/features/documents/locales","de","7"
"src/features/documents/locales","en","7"
"src/features/documents/locales","es","7"
"src/features/documents/locales","fi","7"
"src/features/documents/locales","fr","7"
"src/features/documents/locales","no","7"
"src/features/documents/locales","sv","7"
"src/features/profile/locales","ar","27"
"src/features/profile/locales","da","27"
"src/features/profile/locales","de","27"
"src/features/profile/locales","en","27"
"src/features/profile/locales","es","27"
"src/features/profile/locales","fi","27"
"src/features/profile/locales","fr","27"
"src/features/profile/locales","no","27"
"src/features/profile/locales","sv","27"
"src/modules/assignments/locales","ar","16"
"src/modules/assignments/locales","da","16"
"src/modules/assignments/locales","de","16"
"src/modules/assignments/locales","en","16"
"src/modules/assignments/locales","es","16"
"src/modules/assignments/locales","fi","16"
"src/modules/assignments/locales","fr","16"
"src/modules/assignments/locales","no","16"
"src/modules/assignments/locales","sv","16"
"src/modules/chat/locales","ar","5"
"src/modules/chat/locales","da","5"
"src/modules/chat/locales","de","5"
"src/modules/chat/locales","en","5"
"src/modules/chat/locales","es","5"
"src/modules/chat/locales","fi","5"
"src/modules/chat/locales","fr","5"
"src/modules/chat/locales","no","5"
"src/modules/chat/locales","sv","5"
"src/modules/forum/locales","ar","19"
"src/modules/forum/locales","da","19"
"src/modules/forum/locales","de","19"
"src/modules/forum/locales","en","19"
"src/modules/forum/locales","es","19"
"src/modules/forum/locales","fi","19"
"src/modules/forum/locales","fr","19"
"src/modules/forum/locales","no","19"
"src/modules/forum/locales","sv","19"
"src/modules/gamification/locales","ar","11"
"src/modules/gamification/locales","da","11"
"src/modules/gamification/locales","de","11"
"src/modules/gamification/locales","en","11"
"src/modules/gamification/locales","es","11"
"src/modules/gamification/locales","fi","11"
"src/modules/gamification/locales","fr","11"
"src/modules/gamification/locales","no","11"
"src/modules/gamification/locales","sv","11"
"src/modules/quiz-runner/locales","ar","26"
"src/modules/quiz-runner/locales","da","26"
"src/modules/quiz-runner/locales","de","26"
"src/modules/quiz-runner/locales","en","26"
"src/modules/quiz-runner/locales","es","26"
"src/modules/quiz-runner/locales","fi","26"
"src/modules/quiz-runner/locales","fr","26"
"src/modules/quiz-runner/locales","no","26"
"src/modules/quiz-runner/locales","sv","26"
